Name,Date,Income before Taxes to EBIT,Capital Expenditures - Total,Cost of Revenues - Total,Intangible Assets - Total - Net,EBITDA Margin - %,Net Cash Flow from Investing Activities,Total Non-Current Liabilities,Net Cash Flow from Financing Activities,Depreciation - Total,Cash & Cash Equivalents - Total,Total Liabilities & Equity,Debt - Long-Term - Total,Debt - Total,Earnings before Interest Taxes Depreciation & Amortization,Earnings before Interest Tax Depr & Amort & Optg Lease Pymt,Depreciation & Depletion - PPE - CF - to Reconcile,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities,Gross Profit - Industrials/Property - Total,Income before Taxes,Net Cash Flow from Operating Activities,Cash Flow from Operating Actvs bef Changes in Working Cap,Retained Earnings - Total,Short-Term Investments - Total,Cash & Cash Equivalents,Cash & Short Term Investments,Inventories - Total,Total Shareholders' Equity incl Minority Intr & Hybrid Debt,Total Current Assets,Loans & Receivables - Net - Short-Term,Retained Earnings,Interest Expense - Net of (Interest Income),Earnings before Interest & Taxes (EBIT),Gross Revenue from Business Activities - Total,Revenue from Business Activities - Total,Net Income after Tax,Total Assets,Total Fixed Assets - Net,Receivables & Loans - Long-Term,Total Current Liabilities,Year,SIZE,ROA,CUR,LEV,FAR,signal_ebit,Z_Score,signal_z,S_Score,signal_s,n_signals,ews_level,n_signals_lag1,n_signals_lag2,signal_ebit_lag1,signal_ebit_lag2,signal_z_lag1,signal_z_lag2,signal_s_lag1,signal_s_lag2,early_warning_flag,current_high_risk,risk_trend,recommendation,priority_flag
AAA.HM,2014-12-31,0.84329,109290786977,1377898703125,33092769919,0.0845998,-134266516387,127650991402,234422440662,0,336807716067,1421650734913,127650991402,456673183094,132030139109,0,64200062759,776936974055,635324911650.0,182744905966,57200304377,106006194617,133843915331,187992781673,0,336807716067,366807716067,137522087909,786325823263,694379188147.0,177190684453,11046484107.6846,8855248364,67830076350,1564763399903,1560643609091,47780875107,1421650734913.0,727271546766,0,507673920248.0,2014,27.98283980174949,0.033609432987719,1.3677661200476754,0.4468924019434911,0.5115683683098904,0,2.4915228955198554,0,0.7952167971071502,1,1,Watchlist,,,,,,,,,0,0,,Monitor,0
AAA.HM,2015-12-31,0.69365,290399851419,1424741156735,41156786677,0.0968243,-254738487783,468200161266,450835453981,82370040284,470061718120,1954764678040,468200161266,906970059962,156327615384,0,83358285094,809563476425,1135279409795.0,189807791166,50614922554,-62979773043,198276040523,116439130668,0,470061718120,470061718120,214186555570,819485268245,1071561008455.0,203362721459,31802089144.0,1670843923,72969330290,1616048818116,1614548947901,40548813597,1954764678040.0,883203669585,0,667079248529.0,2015,28.30129093283191,0.020743578013522,1.606347387987165,0.58077548799036,0.4518209682766363,0,2.410040049110415,0,0.7081885251757178,1,1,Watchlist,1.0,,0.0,,0.0,,1.0,,1,0,Stable,Monitor,0
AAA.HM,2016-12-31,0.88837,1077441959310,1836734397150,95800109346,0.1308353,-1023820858417,982579138038,868037048854,91947222853,406676809154,3077615978737,982579138038,1783373985536,280480854911,0,92958744347,943890768852,2122863876413.0,307035411700,166596782039,92301537212,326683718587,161862080186,0,406676809154,406676809154,450591281857,954752102324,1361646469010.0,299087792648,37175383486.3095,-2914376723,187530526138,2145496749447,2143769808850,142925017617,3077615978737.0,1715969509727,0,1140284738375.0,2016,28.755176380318314,0.0464401727195522,1.1941284691317178,0.6897754271747011,0.5575645309819336,0,1.3875522566370737,0,0.6362046266795819,1,1,Watchlist,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,Stable,Monitor,0
AAA.HM,2017-12-31,0.89795,695959760341,3519223197973,96512473476,0.1310609,-711085074704,960383131775,882207303398,166133709221,509577636533,4576157128799,959926578352,2377612970586,533366719080,0,166133709221,1376853107488,2951186840177.0,550385105168,328054307275,-68150413213,564826888191,283769575300,0,509577636533,559577636533,536681725193,1624970288622,2142716548893.0,701689131528,-60958701854.4653,68380691620,365338227989,4076763652003,4069608303141,263364105956,4576157128799.0,2433440579906,0,1990803708402.0,2017,29.15188070700372,0.0575513686579025,1.076307292301027,0.6449050496112512,0.5317650839809887,0,1.2007049552392226,0,0.7437672130084887,1,1,Watchlist,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,Stable,Monitor,0
AAA.HM,2018-12-31,0.64667,1698518453380,7338636540198,84985928722,0.0795981,-2651757374719,1342813167987,2725758489063,0,645474843425,7529166722403,1342803889822,3835210582623,637706331892,0,244951380881,2580885656217,4548916573712.0,672936073191,253984323184,62070491669,461768643047,265860134664,720906460274,645474843425,1366381303699,862749230434,2980250148691,3989369447153.0,1207591659039,142541545533.0,87601245658,392754951011,8018827145835,8011572613389,212148913561,7529166722403.0,3518412922783,21384352467,3206103405725.0,2018,29.649805490581507,0.0281769445919894,1.2443046721541655,0.6041726450520375,0.4673044245804756,0,1.6904368444589106,0,0.7452099309610682,1,1,Watchlist,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,Stable,Monitor,0
AAA.HM,2019-12-31,0.88047,503894953414,8215933902107,81950868587,0.1012232,-939574020306,1495570402350,17309999717,0,291674680985,7987454158531,1371510124549,3771596699152,937131510118,0,258634288464,2926896827430,4732215965361.0,1042139378567,597393373124,569062810928,690472023166,602685892796,1251822102192,291674680985,1543496783177,1221502966657,3255238193170,4971363590401.0,1542393883632,337080454420.0,106370553564,678497221654,9278251727409,9258073280674,491028872669,7987454158531.0,2919723097842,96367470288,3236645563011.0,2019,29.708893196464683,0.0614750160593481,1.535961690465798,0.5924561032136575,0.3655386359524317,0,2.782541660016309,0,1.0699261342953603,0,0,Safe,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,Improving,Financially stable,0
AAA.HM,2020-12-31,0.9001,271433582812,6651621793680,94933767055,0.0863227999999999,-101224501192,772617081041,25588860731,0,963717122052,8569414400908,617146847843,3560506117471,641253883704,0,287129075280,3597587325950,4545451942407.0,776935221364,318748516546,748464300782,522359405087,568716740171,758600000000,963717122052,1722317122052,946809379604,4023962458501,4496050828524.0,1005192416178,110708585771.0,71449295875,354124808424,7438249657913,7428557015044,283172810679,8569414400908.0,3884261031416,173910564469,3772834861366.0,2020,29.779220514920933,0.0330445929477976,1.1916903320004182,0.5304273699175257,0.4532702994272783,0,1.7044896985333993,0,0.6163000661795885,1,1,Watchlist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,Worsening,Monitor closely – risk increasing,1
AAA.HM,2021-12-31,1.08091,668611230534,11841734480539,114970776229,0.0490216,-296437940512,1272805478684,739244815406,269617481457,1988170740182,10009526635291,1175997845832,3359178943960,644296817603,0,315934993090,4794491090078,4555144898241.0,1301375383462,397868051996,589668023413,600089820629,706493529920,436156000000,1988170740182,2424326740182,997384835429,5454381737050,5354610509760.0,1537615854603,141861025297.0,43643626423,368085721559,13154009928330,13143109864001,324143024419,10009526635291.0,4339399015565,278966433205,3282339419557.0,2021,29.934558418955792,0.0323834519083205,1.6313396712892914,0.4550809507994852,0.4335268962935172,0,2.75660822237506,0,0.9313613292284036,0,0,Safe,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,Improving,Financially stable,0
AAA.HM,2022-12-31,1.07842,168326440417,14204057189374,109895830458,0.0286588999999999,-1177062655803,1418164667209,630942186793,258277829438,1642978052440,10795832681712,1242368724012,3130190168990,438203565004,0,311000570200,5519887308975,4624647264247.0,1086239883713,186066111703,180399152137,345202855634,721688030767,448656000000,1642978052440,2091634052440,1790091357848,6171185417465,5658759199548.0,1518103363815,152599331716.0,72999828101,172535073219,15314698238896,15290297073087,117291267937,10795832681712.0,5037760485312,66843405856,3206482597038.0,2022,30.01018131279007,0.0108644947911882,1.7647871236772965,0.4283733733740698,0.4666393629688148,0,2.89684190619012,0,0.8878528802541992,0,0,Safe,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,Stable,Financially stable,0
AAA.HM,2023-12-31,1.20982,643183016026,11512820822177,196913275572,0.0464428999999999,-1770721462519,1882533378229,-235864083459,264166438287,2435058282483,11583445505916,358856724282,2984350085461,586180238508,0,330970771702,5344165531187,5619574565686.0,1108693322770,377895554949,2786577076763,511669103510,562622505805,1079609986000,2435058282483,3514668268483,781680229197,5963870940230,5681580248153.0,1029912142834,289410548684.0,14260688663,312355596519,12628191473898,12621514144947,309193823134,11583445505916.0,5771769193351,82297269278,3737041187457.0,2023,30.08059808318832,0.0266927334337685,1.5203418863090534,0.4851384299098157,0.4982774072190516,0,2.362442657751091,0,0.7582799630756734,1,1,Watchlist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Worsening,Monitor closely – risk increasing,0
